TimeStep	Transitions	State	FearLevel	HungerLevel	PosX	posZ
397	3	Hide	17	3	0.0437	0.4679
398	3	Hide	17	3	0.0437	0.4679
399	3	Hide	17	3	0.0437	0.4679
400	3	Hide	17	3	0.0437	0.4679
401	3	Hide	17	3	0.0437	0.4679
402	3	Hide	17	3	0.0437	0.4679
403	3	Hide	17	3	0.0437	0.4679
404	3	Hide	17	3	0.0437	0.4679
405	3	Hide	17	3	0.0437	0.4679
406	3	Hide	17	3	0.0437	0.4679
407	3	Hide	17	3	0.0437	0.4679
408	3	Hide	17	3	0.0437	0.4679
409	3	Hide	17	3	0.0437	0.4679
410	3	Hide	17	3	0.0437	0.4679
411	3	Hide	17	3	0.0437	0.4679
412	3	Hide	17	3	0.0437	0.4679
413	3	Hide	17	3	0.0437	0.4679
414	3	Hide	17	3	0.0437	0.4679
415	3	Hide	17	3	0.0437	0.4679
416	3	Hide	17	3	0.0437	0.4679
417	3	Hide	17	3	0.0437	0.4679
418	3	Hide	17	3	0.0437	0.4679
419	3	Hide	17	3	0.0437	0.4679
420	3	Hide	17	3	0.0437	0.4679
421	3	Hide	17	3	0.0437	0.4679
422	3	Hide	17	3	0.0437	0.4679
423	3	Hide	17	3	0.0437	0.4679
424	3	Hide	17	3	0.0437	0.4679
425	3	Hide	17	3	0.0437	0.4679
426	3	Hide	17	3	0.0437	0.4679
427	3	Hide	17	3	0.0437	0.4679
428	3	Hide	17	3	0.0437	0.4679
429	3	Hide	17	3	0.0437	0.4679
430	3	Hide	17	3	0.0437	0.4679
431	3	Hide	17	3	0.0437	0.4679
432	3	Hide	17	3	0.0437	0.4679
433	3	Hide	17	3	0.0437	0.4679
434	3	Hide	17	3	0.0437	0.4679
435	3	Hide	17	3	0.0437	0.4679
436	3	Hide	17	3	0.0437	0.4679
437	3	Hide	17	3	0.0437	0.4679
438	3	Hide	17	3	0.0437	0.4679
439	3	Hide	17	3	0.0437	0.4679
440	3	Hide	17	3	0.0437	0.4679
441	3	Hide	17	3	0.0437	0.4679
442	3	Hide	17	3	0.0437	0.4679
443	3	Hide	17	3	0.0437	0.4679
444	3	Hide	17	3	0.0437	0.4679
445	3	Hide	17	3	0.0437	0.4679
446	3	Hide	17	3	0.0437	0.4679
447	3	Hide	17	3	0.0437	0.4679
448	3	Hide	17	3	0.0437	0.4679
449	3	Hide	17	3	0.0437	0.4679
450	3	Hide	17	3	0.0437	0.4679
451	3	Hide	17	3	0.0437	0.4679
452	3	Hide	17	3	0.0437	0.4679
453	3	Hide	17	3	0.0437	0.4679
454	3	Hide	17	3	0.0437	0.4679
455	3	Hide	17	3	0.0437	0.4679
456	3	Hide	17	3	0.0437	0.4679
457	3	Hide	17	3	0.0437	0.4679
458	3	Hide	17	3	0.0437	0.4679
459	3	Hide	17	3	0.0437	0.4679
460	3	Hide	17	3	0.0437	0.4679
461	3	Hide	17	3	0.0437	0.4679
462	3	Hide	17	3	0.0437	0.4679
463	3	Hide	17	3	0.0437	0.4679
464	3	Hide	17	3	0.0437	0.4679
465	3	Hide	17	3	0.0437	0.4679
466	3	Hide	17	3	0.0437	0.4679
467	3	Hide	17	3	0.0437	0.4679
468	3	Hide	17	3	0.0437	0.4679
469	3	Hide	17	3	0.0437	0.4679
470	3	Hide	17	3	0.0437	0.4679
471	3	Hide	17	3	0.0437	0.4679
472	3	Hide	17	3	0.0437	0.4679
473	3	Hide	17	3	0.0437	0.4679
474	3	Hide	17	3	0.0437	0.4679
475	3	Hide	17	3	0.0437	0.4679
476	3	Hide	17	3	0.0437	0.4679
477	3	Hide	17	3	0.0437	0.4679
478	3	Hide	17	3	0.0437	0.4679
479	3	Hide	17	3	0.0437	0.4679
480	3	Hide	17	3	0.0437	0.4679
481	3	Hide	17	3	0.0437	0.4679
482	3	Hide	17	3	0.0437	0.4679
483	3	Hide	17	3	0.0437	0.4679
484	3	Hide	17	3	0.0437	0.4679
485	3	Hide	17	3	0.0437	0.4679
486	3	Hide	17	3	0.0437	0.4679
487	3	Hide	17	3	0.0437	0.4679
488	3	Hide	17	3	0.0437	0.4679
489	3	Hide	17	3	0.0437	0.4679
490	3	Hide	17	3	0.0437	0.4679
491	3	Explore	17	3	0.0437	0.4679
492	4	Hide	16	4	0.0437	0.4675
493	5	Hide	15	5	0.0437	0.4675
494	5	Hide	15	5	0.0437	0.4675
495	5	Hide	15	5	0.0438	0.4676
496	5	Hide	15	5	0.0438	0.4676
497	5	Hide	15	5	0.0438	0.4676
498	5	Hide	15	5	0.0438	0.4676
499	5	Hide	15	5	0.0438	0.4676
500	5	Hide	15	5	0.0438	0.4676
501	5	Hide	15	5	0.0438	0.4676
502	5	Hide	15	5	0.0438	0.4676
503	5	Hide	15	5	0.0438	0.4676
504	5	Hide	15	5	0.0438	0.4676
505	5	Hide	15	5	0.0438	0.4676
506	5	Hide	15	5	0.0438	0.4676
507	5	Hide	15	5	0.0438	0.4676
508	5	Hide	15	5	0.0438	0.4676
509	5	Hide	15	5	0.0438	0.4676
510	5	Hide	15	5	0.0438	0.4676
511	5	Hide	15	5	0.0438	0.4676
512	5	Hide	15	5	0.0438	0.4676
513	5	Hide	15	5	0.0438	0.4676
514	5	Hide	15	5	0.0438	0.4676
515	5	Hide	15	5	0.0438	0.4676
516	5	Hide	15	5	0.0438	0.4676
517	5	Hide	15	5	0.0438	0.4676
518	5	Hide	15	5	0.0438	0.4676
519	5	Hide	15	5	0.0438	0.4676
520	5	Hide	15	5	0.0438	0.4676
521	5	Hide	15	5	0.0438	0.4676
522	5	Hide	15	5	0.0438	0.4676
523	5	Hide	15	5	0.0438	0.4676
524	5	Hide	15	5	0.0438	0.4676
525	5	Hide	15	5	0.0438	0.4676
526	5	Hide	15	5	0.0438	0.4676
527	5	Hide	15	5	0.0438	0.4676
528	5	Hide	15	5	0.0438	0.4676
529	5	Hide	15	5	0.0438	0.4676
530	5	Hide	15	5	0.0438	0.4676
531	5	Hide	15	5	0.0438	0.4676
532	5	Hide	15	5	0.0438	0.4676
533	5	Hide	15	5	0.0438	0.4676
534	5	Hide	15	5	0.0438	0.4676
535	5	Hide	15	5	0.0438	0.4676
536	5	Hide	15	5	0.0438	0.4676
537	5	Hide	15	5	0.0438	0.4676
538	5	Hide	15	5	0.0438	0.4676
539	5	Hide	15	5	0.0438	0.4676
540	5	Hide	15	5	0.0438	0.4676
541	5	Hide	15	5	0.0438	0.4676
542	5	Hide	15	5	0.0438	0.4676
543	5	Hide	15	5	0.0438	0.4676
544	5	Hide	15	5	0.0438	0.4676
545	5	Hide	15	5	0.0438	0.4676
546	5	Hide	15	5	0.0438	0.4676
547	5	Hide	15	5	0.0438	0.4676
548	5	Hide	15	5	0.0438	0.4676
549	5	Hide	15	5	0.0438	0.4676
550	5	Hide	15	5	0.0438	0.4676
551	5	Hide	15	5	0.0438	0.4676
552	5	Hide	15	5	0.0438	0.4676
553	5	Hide	15	5	0.0438	0.4676
554	5	Hide	15	5	0.0438	0.4676
555	5	Hide	15	5	0.0438	0.4676
556	5	Hide	15	5	0.0438	0.4676
557	5	Hide	15	5	0.0438	0.4676
558	5	Hide	15	5	0.0438	0.4676
559	5	Hide	15	5	0.0438	0.4676
560	5	Hide	15	5	0.0438	0.4676
561	5	Hide	15	5	0.0438	0.4676
562	5	Hide	15	5	0.0438	0.4676
563	5	Hide	15	5	0.0438	0.4676
564	5	Hide	15	5	0.0438	0.4676
565	5	Hide	15	5	0.0438	0.4676
566	5	Hide	15	5	0.0438	0.4676
567	5	Hide	15	5	0.0438	0.4676
568	5	Hide	15	5	0.0438	0.4676
569	5	Hide	15	5	0.0438	0.4676
570	5	Hide	15	5	0.0438	0.4676
571	5	Hide	15	5	0.0438	0.4676
572	5	Hide	15	5	0.0438	0.4676
573	5	Hide	15	5	0.0438	0.4676
574	5	Hide	15	5	0.0438	0.4676
575	5	Hide	15	5	0.0438	0.4676
576	5	Hide	15	5	0.0438	0.4676
577	5	Hide	15	5	0.0438	0.4676
578	5	Hide	15	5	0.0438	0.4676
579	5	Hide	15	5	0.0438	0.4676
580	5	Hide	15	5	0.0438	0.4676
581	5	Hide	15	5	0.0438	0.4676
582	5	Hide	15	5	0.0438	0.4676
583	5	Hide	15	5	0.0438	0.4676
584	5	Hide	15	5	0.0438	0.4676
585	5	Hide	15	5	0.0438	0.4676
